,ant_mjd,ant_passband,ant_mag,ant_magerr
10,59114.20979169988,g,20.129657745361328,0.21291552484035486
11,59114.23240739992,g,20.212400436401367,0.24768400192260745
12,59114.27622690005,R,20.189924240112305,0.18490813672542566
13,59114.27670140006,R,20.115835189819336,0.18171371519565585
14,59123.16952549992,g,19.13520050048828,0.2320220023393631
15,59123.2721874998,R,18.65135765075684,0.2111491858959198
17,59125.18921299977,g,19.103609085083008,0.16902439296245575
18,59125.25277779997,R,18.917179107666016,0.11426349729299545
19,59125.27017359994,R,18.90797615051269,0.14029592275619507
20,59127.1907060002,g,18.964599609375,0.2954919934272766
22,59129.18988429987,R,18.953399658203125,0.10071499645709993
23,59130.187928199775,g,19.154672622680664,0.1084318459033966
24,59131.18908559997,g,19.11271476745605,0.08631843328475952
25,59131.21418979997,R,18.886005401611328,0.09228085726499556
26,59134.146215300076,g,19.34971809387207,0.10339223593473433
27,59134.169455999974,R,19.045658111572266,0.09835876524448396
28,59135.18731479999,R,19.03926086425781,0.09871096163988112
29,59135.23241900001,g,19.36189079284668,0.14348246157169342
30,59136.13042820013,g,19.40342330932617,0.11180070042610167
31,59136.169097200036,R,19.125581741333008,0.09282173961400986
32,59137.20377309992,R,19.182695388793945,0.13357345759868622
33,59137.228344900075,g,19.467470169067386,0.16189181804656982
34,59138.12812499981,R,19.24444007873535,0.10290229320526124
35,59138.192395799786,g,19.468555450439453,0.14874906837940216
36,59139.250266199924,R,19.274789810180664,0.11620178073644638
37,59140.1290972,R,19.318899154663086,0.09542500227689744
38,59140.17572919978,g,19.78347969055176,0.12945634126663208
39,59141.147164400194,R,19.32956314086914,0.09694685786962508
40,59142.11304400022,g,19.84046936035156,0.1829361766576767
41,59142.11304400022,g,19.84046936035156,0.1829361766576767
42,59142.14614580013,R,19.394311904907227,0.1174449473619461
43,59142.14614580013,R,19.394311904907227,0.1174449473619461
44,59143.13278939994,R,19.377216339111328,0.11920522898435593
45,59143.18646989996,g,19.958452224731445,0.1892014890909195
47,59145.125057899866,R,19.57084083557129,0.12743467092514038
48,59145.21797449981,g,19.86709976196289,0.2836099863052368
50,59149.12770830003,R,19.26759910583496,0.2877959907054901
54,59150.191284699824,R,19.557594299316406,0.215835765004158
55,59151.109861100085,R,19.462589263916016,0.1742371767759323
56,59151.11079860013,R,19.62693977355957,0.17646163702011108
59,59152.190405100126,R,19.682058334350586,0.21320372819900515
60,59152.190868100144,R,19.446199417114254,0.2474540024995804
63,59154.18314810004,R,19.87150001525879,0.25432899594306946
64,59154.195370399866,R,19.56450080871582,0.22804899513721466
67,59158.12498839991,R,19.69300842285156,0.17446129024028778
68,59158.127858799875,R,19.777456283569336,0.165095716714859
72,59165.12234950018,R,20.448699951171875,0.2552550137042999
73,59165.12281250022,R,20.178438186645508,0.1888360977172852
80,59168.118425900124,R,20.11612319946289,0.21396535634994507
