,ant_mjd,ant_passband,ant_mag,ant_magerr
35,59125.2427662001,g,19.661699295043945,0.22555699944496155
36,59125.278830999974,R,19.684600830078125,0.1985190063714981
37,59125.30844909978,R,19.441600799560547,0.16270999610424042
38,59126.22809030023,g,19.197999954223636,0.15265999734401706
39,59126.321411999874,R,19.37116813659668,0.1648426204919815
43,59129.22473380017,R,19.061878204345703,0.09460700303316116
44,59129.296608800076,g,18.92215347290039,0.09726620465517044
45,59131.217013900176,R,18.955799102783203,0.08895000070333481
46,59131.2604398001,g,18.907474517822266,0.07902589440345764
47,59134.196354200125,R,19.00349998474121,0.08747000247240068
48,59134.23783560004,g,18.91808319091797,0.08501933515071869
49,59136.176782399874,R,18.968318939208984,0.08121570944786073
50,59136.24556710013,g,18.91634750366211,0.07571705430746077
51,59138.13657409978,R,18.92584228515625,0.08368010073900223
52,59138.24716439982,g,18.95861053466797,0.11278224736452105
53,59140.14048610022,R,19.06960868835449,0.11074155569076538
54,59140.19304399983,g,19.147743225097656,0.11237679421901704
57,59144.20570599986,R,19.27330017089844,0.1063714548945427
58,59146.17171300016,R,19.116012573242188,0.14113356173038485
60,59149.13700230001,R,19.4424991607666,0.2535200119018555
62,59151.2068403,g,20.065500259399414,0.3370560109615326
63,59151.22065970022,R,19.334209442138672,0.1693713665008545
66,59155.115752299775,R,19.596187591552734,0.13395750522613525
67,59155.164259300094,g,20.27989959716797,0.30614998936653137
69,59157.35210649995,R,19.41819953918457,0.1954759955406189
72,59167.19587960001,R,20.38274383544922,0.20844712853431704
