,ant_mjd,ant_passband,ant_mag,ant_magerr
5,59130.499282400124,g,19.199913024902344,0.14747567474842072
6,59135.46223379998,g,18.70491981506348,0.0763995349407196
7,59135.49710649997,R,18.604589462280273,0.07500502467155458
8,59137.47907410003,g,18.73695182800293,0.07263722270727158
9,59137.485648099806,R,18.5412654876709,0.0840984433889389
10,59139.457349500146,g,18.792072296142575,0.10957290232181548
11,59141.47917820001,g,18.945009231567386,0.0743667483329773
12,59143.49945600005,R,18.678165435791016,0.06948834657669067
13,59143.50707180007,g,19.14122772216797,0.08352233469486238
14,59145.457661999855,g,19.478700637817386,0.10103300213813783
15,59145.52025459986,R,18.75489997863769,0.07837200164794922
16,59149.51695600013,g,20.019323348999023,0.19191914796829224
17,59150.50450230017,g,20.212337493896484,0.17482830584049225
18,59151.45478009991,R,18.942819595336914,0.12513433396816254
21,59153.48252309999,R,19.18446159362793,0.14474689960479736
22,59153.522569399785,g,19.94070053100586,0.32481300830841064
26,59165.43686340004,R,20.11615753173828,0.16611969470977786
