,ant_mjd,ant_passband,ant_mag,ant_magerr
6,59135.473286999855,g,19.23909950256348,0.1391019970178604
7,59135.51195599978,R,19.42603874206543,0.13817641139030454
8,59137.47579859988,g,19.112762451171875,0.1273111253976822
9,59137.513344900224,R,19.24567031860352,0.11334393918514253
10,59139.45453700004,g,19.02471351623535,0.14597521722316742
11,59139.51506939996,R,19.091472625732425,0.1123439148068428
12,59141.474490699824,g,18.876686096191406,0.11080344021320344
13,59141.51422449992,R,18.91424369812012,0.09862285852432252
14,59143.48528939997,R,18.90163230895996,0.0836309865117073
15,59143.50987270009,g,18.915193557739254,0.10643216967582704
16,59145.46446759999,g,18.84280014038086,0.08669500052928925
17,59145.50555559992,R,18.89069938659668,0.0934400036931038
18,59149.50347220013,g,18.89459609985352,0.10920322686433792
19,59150.50871529988,g,18.92803955078125,0.13083516061306
20,59150.52805559988,R,18.95742416381836,0.1136281192302704
21,59151.521157400224,R,18.84811782836914,0.08791942149400711
22,59152.483321799904,R,18.882665634155273,0.1066831648349762
23,59152.516307900194,g,18.9939079284668,0.13501590490341187
24,59155.50021990017,R,19.11090087890625,0.1050100028514862
25,59155.508009300094,g,19.12771415710449,0.14216870069503784
26,59156.484791699804,g,19.466022491455078,0.19518424570560453
27,59156.53829859988,R,19.24942970275879,0.12731821835041046
28,59158.48427079991,g,19.52204132080078,0.19036433100700376
30,59165.47806710005,R,19.55476188659668,0.15994079411029816
31,59165.50655090017,g,19.782302856445312,0.13962534070014954
32,59168.45606479981,R,19.73307037353516,0.1891499906778336
33,59168.555497699876,g,20.148399353027344,0.3338780105113983
34,59170.46467590006,g,20.2544002532959,0.2283550053834915
35,59170.52373840008,R,19.6586971282959,0.14556969702243805
36,59173.50670140004,R,19.585100173950195,0.17666999995708466
39,59176.490567099776,g,20.77440071105957,0.3020960092544556
40,59176.527708299924,R,19.886474609375,0.1812746524810791
