,ant_mjd,ant_passband,ant_mag,ant_magerr
27,59157.236493099954,R,19.654184341430664,0.16695484519004822
28,59157.290011600126,g,19.660818099975586,0.16587571799755094
29,59164.265914400115,g,18.894100189208984,0.11685674637556075
30,59164.30560189997,R,18.83124542236328,0.10319224745035173
31,59166.32756939996,R,18.83845329284668,0.10370168834924698
32,59168.14304400002,R,18.709909439086914,0.07662874460220337
33,59168.22652779985,g,18.912736892700195,0.09114743024110794
34,59170.1421991,R,18.76410484313965,0.06738308072090149
35,59170.21246530023,g,18.874422073364254,0.07598236203193665
36,59172.15457180003,R,18.68661499023437,0.08321435004472733
38,59175.278715299915,g,19.127199172973636,0.314877986907959
39,59178.179374999825,g,19.302978515625,0.12090606242418288
43,59182.19052080018,g,19.76210021972656,0.2315579950809479
44,59182.361550900154,R,19.3284912109375,0.2044282853603363
47,59186.19302080013,g,19.84429931640625,0.2967109978199005
48,59186.26347219991,R,19.15780067443848,0.3636550009250641
49,59188.182800900184,g,20.009191513061523,0.1692725419998169
50,59188.243229200125,R,19.401939392089844,0.1407930552959442
53,59193.22093749978,R,19.55021476745605,0.12690651416778564
55,59195.21512730001,R,19.612531661987305,0.14844569563865662
58,59199.22194440012,R,19.60262107849121,0.14291751384735107
59,59202.141990699805,R,20.132965087890625,0.19700069725513455
