,ant_mjd,ant_passband,ant_mag,ant_magerr
21,59164.129455999944,R,19.86939239501953,0.1840839684009552
22,59167.12493060018,R,19.25,0.10104300081729888
23,59167.130289400004,g,20.109363555908203,0.17660875618457794
24,59169.12041669991,g,19.693565368652344,0.1569192260503769
25,59169.16571759991,R,19.02084732055664,0.10136697441339493
26,59171.1104629999,R,18.81515312194824,0.07194972038269043
27,59173.11362269986,R,18.680055618286133,0.07509810477495192
28,59173.15196759999,g,19.569416046142575,0.13153962790966034
30,59177.08961809985,R,18.63508415222168,0.08372505754232408
31,59179.10250000004,R,18.74617576599121,0.08161721378564835
32,59179.13113430003,g,19.63349914550781,0.1656123846769333
33,59181.10043979995,R,18.578327178955078,0.14739041030406952
35,59183.072442099925,R,18.75718688964844,0.09731464087963104
37,59185.120960600216,g,19.91552734375,0.19548526406288147
38,59185.120960600216,g,19.91552734375,0.19548526406288147
39,59185.129536999855,R,18.862335205078125,0.09907328337430954
40,59185.129536999855,R,18.862335205078125,0.09907328337430954
42,59187.180671299815,R,19.37430000305176,0.2268469929695129
43,59189.20113429987,R,19.17674446105957,0.12006492167711258
45,59194.1196527998,R,19.302953720092773,0.16523496806621552
