,ant_mjd,ant_passband,ant_mag,ant_magerr
23,59164.304201399915,R,19.580629348754886,0.14092329144477844
24,59164.35092590004,g,19.730085372924805,0.14168018102645874
25,59166.32420139993,R,19.321340560913086,0.10863649845123292
26,59168.21842590022,g,19.01920318603516,0.08876268565654755
27,59168.2857638998,R,18.99510765075684,0.07086289674043655
28,59170.22112269978,g,18.91737365722656,0.09223774820566176
29,59170.256770799875,R,18.82807922363281,0.06568363308906555
30,59172.15597219997,R,18.71071052551269,0.07169259339570999
31,59172.24711810006,g,18.752460479736328,0.09950938075780867
32,59175.30032410008,g,18.726787567138672,0.0979788824915886
33,59178.18032409996,g,18.697237014770508,0.07565900683403015
35,59180.19164349978,g,18.84320068359375,0.2353679984807968
37,59182.22033559997,g,18.8823184967041,0.13263481855392456
38,59182.362488400184,R,18.8341121673584,0.10943330079317093
39,59184.216250000056,g,19.093265533447266,0.1692650467157364
40,59184.31075230008,R,18.871387481689453,0.1109495684504509
41,59186.1962731001,g,19.07439994812012,0.2453110069036484
43,59188.19939809991,g,19.32460021972656,0.11735399812459946
44,59188.26637730002,R,19.03122329711914,0.08090564608573914
45,59190.17055559997,R,19.1805419921875,0.09734752774238586
47,59193.2035995,g,19.646160125732425,0.16612841188907626
48,59193.225520799875,R,19.36589241027832,0.1215330734848976
49,59195.23890049989,g,19.842243194580078,0.16700559854507446
50,59197.22081020009,R,19.311599731445312,0.2823230028152466
51,59199.22410879983,R,19.415035247802734,0.113376222550869
52,59199.2844560002,g,20.01619911193848,0.2755019962787628
53,59202.223784700036,g,20.401500701904297,0.30439600348472595
54,59202.28512729983,R,19.330568313598636,0.16329680383205414
55,59204.175231500056,R,19.525346755981445,0.15316763520240784
61,59216.118807900224,R,20.11009979248047,0.2636919915676117
63,59218.18101850013,R,20.12068748474121,0.2153292000293732
66,59220.23418979999,R,20.22559928894043,0.2237229943275452
76,59232.15167819987,R,20.842191696166992,0.2170905023813248
