,ant_mjd,ant_passband,ant_mag,ant_magerr
16,59165.30149309988,g,19.176734924316406,0.07803434878587723
17,59165.34967589984,R,19.15651512145996,0.08859486877918242
18,59167.34233799996,R,18.948474884033203,0.08530392497777939
19,59167.35817130003,g,19.09212303161621,0.08210064470767975
20,59169.296747699846,R,18.85584831237793,0.08137805759906769
21,59169.33614580008,g,18.917818069458008,0.08202176541090013
22,59171.25596059999,g,18.97878074645996,0.06533441692590714
25,59176.329074100126,R,18.87870216369629,0.1050821766257286
26,59176.34612269978,g,19.04120445251465,0.07793057709932327
27,59178.3191550998,R,18.853511810302734,0.08434843271970749
30,59184.22672449984,g,19.31999969482422,0.21759000420570374
31,59184.29953699977,R,19.0986385345459,0.17127132415771484
32,59186.29807869997,R,19.104900360107425,0.2993670105934143
34,59188.207511600114,g,19.917999267578125,0.2337249964475632
35,59188.270671300124,R,19.28721618652344,0.15605182945728302
36,59190.19648149982,R,19.37275695800781,0.08759742975234985
37,59190.35307870014,g,20.345199584960934,0.2329609990119934
38,59193.269953699775,R,19.51750946044922,0.11715517193078995
40,59195.22267360008,R,19.47552490234375,0.0950210615992546
41,59195.246018500075,g,20.427143096923828,0.1922191679477692
44,59200.2370023001,R,19.618024826049805,0.1413419097661972
46,59202.28895829991,R,19.76993751525879,0.16753040254116058
47,59204.28447919991,R,19.756933212280273,0.13473810255527496
