,ant_mjd,ant_passband,ant_mag,ant_magerr
7,59165.528773100115,g,20.253400802612305,0.23403200507164
8,59168.51432870002,g,19.712358474731445,0.11523907631635665
9,59168.53202550019,R,19.921070098876953,0.14201349020004272
10,59170.49252310023,g,19.37408828735352,0.1199120432138443
11,59170.55207179999,R,19.63478279113769,0.13648255169391632
12,59173.475763900205,g,19.05120086669922,0.1214739978313446
13,59173.52868060023,R,19.138399124145508,0.171097993850708
14,59176.51031249993,g,18.981393814086914,0.11594725400209427
15,59176.55501159978,R,19.045982360839844,0.09824763238430023
17,59181.5323379999,g,18.930910110473636,0.09263624250888823
18,59184.49163189996,R,19.01726722717285,0.11073165386915207
19,59186.517847199924,g,19.041900634765625,0.2513880133628845
20,59188.517731499865,R,19.161287307739254,0.1207369863986969
21,59188.53010419988,g,19.260324478149414,0.1354523003101349
23,59193.472337999854,g,19.666500091552734,0.12584799528121948
24,59193.51413189992,R,19.467443466186523,0.1386670470237732
25,59195.514814800124,R,19.71649932861328,0.2426760047674179
26,59195.53466439992,g,19.924999237060547,0.1676499992609024
27,59198.493171299815,R,19.70901107788086,0.1320924013853073
28,59198.53202550019,g,20.28641128540039,0.1948427110910416
29,59200.47429399983,g,20.050899505615234,0.2826229929924011
30,59200.53068289999,R,19.83839988708496,0.24255900084972384
31,59203.50642360003,R,19.94729995727539,0.2102410048246384
32,59203.53322920018,g,20.40446662902832,0.21133938431739807
38,59217.464536999825,R,20.34524726867676,0.1969258189201355
