,ant_mjd,ant_passband,ant_mag,ant_magerr
19,59176.43619209993,R,18.9778995513916,0.09110157936811447
20,59176.48822919978,g,18.93854141235352,0.08657059818506241
22,59178.53356479992,R,18.371326446533203,0.06305491924285889
23,59180.44329860015,R,17.906126022338867,0.09960946440696716
24,59182.47579859988,R,17.626285552978516,0.06398996710777283
25,59182.52601849986,g,17.598804473876953,0.05916302278637886
26,59184.43997689989,g,17.373445510864258,0.05689395591616631
27,59184.47686340008,R,17.466632843017578,0.055718138813972466
28,59188.395717599895,R,17.35807228088379,0.04509404674172402
29,59188.44143520017,g,17.212139129638672,0.054684434086084366
31,59193.419594900224,g,17.343622207641598,0.04479532316327095
32,59193.502118099954,R,17.34129524230957,0.043494004756212234
33,59195.46510419994,R,17.452400207519528,0.07668200135231018
34,59198.3776273001,g,17.677200317382812,0.048406999558210366
35,59198.42736109997,R,17.646818161010742,0.04574189335107803
36,59200.41350689996,g,17.82719612121582,0.07099126279354095
37,59200.501782400075,R,17.759851455688477,0.15127094089984894
38,59203.3776273001,g,18.11666679382324,0.06788568943738937
39,59203.45414349996,R,17.968103408813477,0.06308766454458238
42,59210.25368059985,g,18.991100311279297,0.20715799927711487
43,59210.3818518999,R,18.070920944213867,0.07089338451623918
44,59216.380115699954,R,18.30307006835937,0.09044335782527924
45,59216.43515049992,g,19.494800567626953,0.27697500586509705
47,59218.40150459996,R,18.34636116027832,0.073311448097229
49,59220.40181710013,R,18.502307891845703,0.1482129544019699
50,59222.335520800196,R,18.6886043548584,0.0945286899805069
52,59224.351122700136,g,19.78819274902344,0.1660180687904358
53,59224.35927079991,R,18.76053047180176,0.09700876474380493
54,59226.33607639978,g,19.73349952697754,0.2255550026893616
55,59226.39825229999,R,18.86211395263672,0.11748996376991272
56,59228.34555559978,R,19.03719139099121,0.12203614413738252
57,59228.36232639988,g,20.116300582885746,0.2554050087928772
58,59230.277465300176,R,19.12648582458496,0.12569040060043335
59,59230.3306828998,g,20.2007999420166,0.23499399423599246
60,59232.35905090022,g,20.07550048828125,0.21791799366474152
62,59248.360925899826,R,19.48624992370605,0.15888556838035586
65,59252.212187500205,R,19.796459197998047,0.16496509313583374
66,59252.26971059991,g,20.318099975585934,0.24616500735282895
67,59254.2546759001,R,19.716815948486328,0.12361565232276915
69,59256.234375,R,20.082683563232425,0.204821452498436
