,ant_mjd,ant_passband,ant_mag,ant_magerr
19,59179.20891200006,g,18.6052188873291,0.10327427834272383
21,59183.21259259991,g,17.572650909423828,0.06229537725448608
22,59185.205844900105,g,17.261699676513672,0.03474999964237213
23,59185.25407409994,R,17.136955261230472,0.031350336968898766
24,59187.19270829996,g,17.04599952697754,0.03830499947071075
25,59187.24756939989,R,16.980913162231445,0.04879869893193245
26,59189.2370023001,R,16.89851951599121,0.03146802634000778
27,59192.161724499885,R,16.882158279418945,0.03752736747264862
28,59192.21348380017,g,16.964048385620114,0.04038332030177117
29,59194.21086810018,g,16.972000122070312,0.041251998394727714
30,59194.25317130005,R,16.875799179077152,0.032023001462221146
31,59197.248205999844,R,17.064498901367188,0.04437151178717613
32,59200.19050930021,g,17.342090606689453,0.034465432167053216
33,59200.237939800136,R,17.18995475769043,0.03270159661769867
34,59202.22894679987,g,17.51969337463379,0.052843630313873284
35,59202.2884837999,R,17.388370513916016,0.044419042766094215
36,59204.201180600096,R,17.48141860961914,0.04099803417921066
37,59204.252673599876,g,17.673715591430664,0.05977897346019745
39,59206.32068290003,g,18.042999267578125,0.23460499942302704
40,59210.30377310003,R,17.701332092285156,0.06278550624847412
41,59216.23400459997,R,17.810693740844727,0.057595815509557724
43,59218.17627310008,R,17.848499298095703,0.046431999653577805
44,59218.21524310019,g,19.10627555847168,0.10195284336805344
45,59220.19094910008,g,19.252525329589844,0.09139083325862883
46,59220.214976899784,R,18.011850357055664,0.04496541991829872
48,59222.213009300176,R,18.225473403930664,0.0649074837565422
50,59224.22798610013,R,18.416635513305664,0.09246062487363817
51,59226.150717599776,R,18.564754486083984,0.08567514270544052
52,59228.145740699954,R,18.71141815185547,0.13350552320480347
54,59230.127916700214,R,18.721555709838867,0.07594926655292511
55,59230.271134300165,g,19.93453025817871,0.1638503074645996
56,59232.17275460018,R,18.75895118713379,0.06731818616390227
60,59251.13043980022,g,20.324899673461914,0.22072599828243256
61,59251.17332179983,R,19.435325622558594,0.13455820083618164
