,ant_mjd,ant_passband,ant_mag,ant_magerr
6,59185.4829051001,g,19.47209930419922,0.24064600467681885
7,59185.522766199894,R,19.3298454284668,0.1661800891160965
9,59188.503541700076,R,18.63719749450684,0.13553771376609802
10,59188.523541700095,g,18.653364181518555,0.14382117986679074
12,59193.4594676001,g,18.080400466918945,0.06655099987983704
13,59193.52054399997,R,18.243572235107425,0.05948331207036973
14,59195.52329860022,g,18.05030632019043,0.09305428713560104
15,59198.43900460005,R,18.116886138916016,0.07685168832540512
16,59200.43892360013,g,18.04650115966797,0.08419341593980789
17,59200.50278940005,R,17.75336265563965,0.17065714299678802
18,59203.45906249993,R,18.22583770751953,0.08262194693088531
19,59206.438738400124,R,18.335397720336914,0.16200636327266693
20,59215.439803199835,R,18.74349975585937,0.2555060088634491
22,59217.39848379978,g,19.151241302490234,0.17761199176311493
23,59217.46041670023,R,18.80418968200684,0.13492392003536224
24,59218.422928200096,R,18.790292739868164,0.10288610309362413
25,59218.46177079994,g,19.178340911865234,0.18313224613666532
26,59219.413576399915,g,19.633100509643555,0.2537420094013214
27,59219.460463,R,18.797203063964844,0.12405157834291458
29,59220.439838000115,g,19.4109001159668,0.24690699577331546
30,59222.376377299894,g,19.676410675048828,0.1677568107843399
31,59222.43946760008,R,18.863460540771484,0.0963362604379654
32,59224.39868059987,g,19.650999069213867,0.2619380056858063
33,59224.487962999854,R,18.94119071960449,0.1951173096895218
35,59226.41484950018,R,18.912477493286133,0.10339803993701936
36,59228.37520830008,g,20.167091369628906,0.1985183507204056
37,59228.43939810013,R,19.168901443481445,0.19078950583934784
38,59230.360613400124,g,20.342599868774414,0.27752000093460083
39,59230.41907409997,R,19.11408042907715,0.11242707818746568
40,59232.36385420011,g,20.287616729736328,0.20200969278812408
41,59232.397963,R,19.322795867919922,0.12724126875400546
