,ant_mjd,ant_passband,ant_mag,ant_magerr
20,59193.422939800184,g,18.128644943237305,0.07033473253250122
21,59193.48924770019,R,18.414766311645508,0.057170167565345764
22,59195.498101899866,R,17.957700729370114,0.06250499933958054
23,59198.39331019996,g,18.05220031738281,0.0581980012357235
24,59198.474490699824,R,18.110557556152344,0.048527970910072334
25,59200.42377310013,g,18.374929428100586,0.10628340393304823
26,59200.50865740003,R,18.324460983276367,0.0776355192065239
27,59203.40939809987,g,18.84430694580078,0.09639768302440643
28,59203.47243059985,R,18.657886505126953,0.07997783273458481
38,59248.40229169978,g,20.045072555541992,0.18224963545799253
40,59250.34209490009,R,18.987382888793945,0.09558304399251938
41,59252.3021296002,R,18.89109992980957,0.07929400354623795
42,59252.38802079996,g,18.7719669342041,0.07565733790397644
43,59254.291342599776,g,18.68187522888184,0.06170956045389176
44,59254.38608800016,R,18.77696418762207,0.09006157517433168
45,59256.30590280006,g,18.741500854492188,0.08845700323581696
46,59256.406192100134,R,18.808820724487305,0.06774582713842392
51,59264.29789349996,R,19.21173667907715,0.0809696838259697
52,59264.33052079986,g,19.52389907836914,0.14462099969387054
53,59266.257326399915,R,19.243711471557614,0.1388721466064453
56,59268.297870399896,R,19.6588191986084,0.1497698426246643
