,ant_mjd,ant_passband,ant_mag,ant_magerr
43,59198.25869210018,R,19.083425521850586,0.1332409381866455
44,59198.25869210018,R,19.08340072631836,0.13324099779129028
45,59198.27393520017,R,19.19409942626953,0.2589310109615326
46,59198.27393520017,R,19.19409942626953,0.2589310109615326
47,59198.313865699805,g,19.0563907623291,0.10578951239585876
48,59198.313865699805,g,19.056400299072266,0.10578999668359756
49,59198.31574069987,g,19.063961029052734,0.1561892330646515
50,59198.31574069987,g,19.06399917602539,0.1561889946460724
52,59200.31685189996,R,19.00425720214844,0.20957793295383453
54,59203.211550899774,R,18.800148010253906,0.1149418130517006
55,59203.2750116,R,18.74867248535156,0.08164772391319275
56,59203.32957179983,g,18.611099243164066,0.09016775339841844
57,59205.22856480022,R,18.649986267089844,0.08480557054281235
58,59205.22903939989,R,18.590621948242188,0.07803580909967422
59,59205.253113400184,g,18.57320976257324,0.0661177709698677
60,59205.27348379978,g,18.52701759338379,0.09625350683927536
61,59211.216955999844,g,18.65958404541016,0.1974404603242874
62,59215.193703699864,g,18.7908992767334,0.24079200625419614
63,59215.242870400194,R,18.71310043334961,0.2518309950828552
64,59216.252338000115,g,18.92449951171875,0.16229300200939178
65,59216.25375000015,g,18.81820678710937,0.1224427968263626
67,59216.307743099984,R,18.9016056060791,0.12732356786727905
68,59218.23048610008,g,19.221155166625977,0.07976393401622772
69,59218.26969909994,g,19.089189529418945,0.11467427760362625
70,59218.275659699924,R,18.93796730041504,0.08721809834241867
71,59218.295312500086,R,19.044469833374023,0.1273203194141388
72,59220.2464815001,R,19.12527084350586,0.09466290473937987
73,59220.25596059999,g,19.33474349975586,0.12362365424633025
74,59220.256435200106,g,19.31586456298828,0.10965943336486816
75,59220.274421299815,R,19.073322296142575,0.12696212530136108
76,59222.253773100216,R,19.21455192565918,0.1235852986574173
77,59222.25471059977,R,19.312061309814453,0.12362195551395415
81,59224.25809030003,R,19.23150062561035,0.13838599622249606
82,59224.259965300094,R,19.237064361572266,0.11078092455863953
83,59226.25321759983,R,19.237773895263672,0.14887697994709015
85,59226.29771990003,g,19.91060447692871,0.2003544718027115
86,59228.2307639001,R,19.30430030822754,0.12446799874305725
87,59228.25249999993,g,20.21389961242676,0.22432300448417666
88,59228.29105320013,g,20.044233322143555,0.18876664340496066
89,59230.250115700066,R,19.50508689880371,0.14285291731357574
90,59230.264097199775,R,19.436140060424805,0.13666653633117676
