,ant_mjd,ant_passband,ant_mag,ant_magerr
20,59194.525104199995,g,18.715795516967773,0.14438097178936005
21,59196.50370369991,R,19.456499099731445,0.2506070137023926
22,59199.44848380005,R,18.569963455200195,0.0900275707244873
23,59199.52422450018,g,18.304929733276367,0.0923120379447937
24,59204.463101900175,g,18.387495040893555,0.073664091527462
25,59210.422280100174,R,18.39316749572754,0.1436648666858673
27,59216.44230319979,g,19.01288604736328,0.16257844865322113
28,59219.439606499865,g,19.59160041809082,0.24214099347591397
29,59220.432743099984,R,19.177000045776367,0.2339559942483902
31,59222.40403940016,g,19.71949958801269,0.1573760062456131
32,59222.44135419978,R,19.02143859863281,0.09732943773269652
33,59224.47768520005,g,19.785600662231445,0.2416120022535324
34,59224.488911999855,R,19.109176635742188,0.1406986564397812
35,59226.41916669997,R,18.956228256225586,0.14422929286956787
36,59226.44149310003,g,20.02712821960449,0.20714184641838074
37,59228.4196295999,g,20.11409950256348,0.22175100445747373
38,59228.46177079994,R,19.219724655151367,0.12867672741413114
39,59230.44818289997,R,19.387699127197266,0.17438973486423492
