,ant_mjd,ant_passband,ant_mag,ant_magerr
32,59215.55134260002,R,18.451539993286133,0.12891997396945953
33,59215.576689799775,g,18.361970901489254,0.1986888647079468
34,59217.488148100216,R,18.345579147338867,0.08493410050868988
35,59217.544351900004,g,18.39061164855957,0.0906461849808693
36,59219.518194399774,R,18.261320114135746,0.1334126740694046
37,59221.50266199977,g,18.603158950805664,0.09435092657804488
38,59221.528391200125,R,18.389257431030273,0.16598765552043915
39,59223.51937500015,R,18.445703506469727,0.0905306115746498
40,59225.495277800124,g,18.81319999694824,0.3336839973926544
41,59228.48548609996,R,18.762378692626953,0.09498599916696547
42,59228.505312500056,g,19.091760635375977,0.12286285310983658
43,59230.5541782002,R,18.80929374694824,0.1066293641924858
44,59232.521076399826,R,19.00571823120117,0.12574365735054016
46,59249.50133100013,R,19.44998359680176,0.15449663996696472
