,ant_mjd,ant_passband,ant_mag,ant_magerr
11,59249.27711809985,g,19.46150016784668,0.2894839942455292
13,59251.32170139997,R,18.895477294921875,0.08162016421556473
14,59251.36826389981,g,18.8099365234375,0.1229916289448738
15,59253.3295948999,R,18.550128936767575,0.06641991436481476
16,59253.371921299964,g,18.586746215820312,0.14908729493618011
17,59255.295312500086,R,18.443790435791016,0.09601691365242004
18,59257.25373840006,R,18.243919372558594,0.057070448994636536
19,59257.33621530003,g,18.073020935058594,0.13888788223266602
20,59262.21353009995,R,18.204132080078125,0.0712045431137085
21,59262.2956249998,g,18.10710334777832,0.06341151148080826
22,59264.31017359997,R,18.133628845214844,0.07693220674991608
23,59264.317812500056,g,18.17526626586914,0.06922975182533264
24,59266.253981499925,R,18.175817489624023,0.08114863932132721
25,59266.27491899999,g,18.252296447753906,0.11256136000156404
26,59268.191076400224,g,18.370325088500977,0.10104627907276154
27,59268.300416700076,R,18.24028778076172,0.05828305333852767
29,59272.25280090003,R,18.58650016784668,0.22000500559806824
30,59274.223136600114,g,18.71649932861328,0.1468449980020523
31,59274.416909699794,R,18.724899291992188,0.2381639927625656
32,59276.275173599824,R,18.663694381713867,0.0890466719865799
33,59280.21947919997,g,19.54017448425293,0.12486818432807922
34,59280.21947919997,g,19.54019927978516,0.1248679980635643
35,59280.254236099776,R,18.789230346679688,0.08855225890874863
36,59280.254236099776,R,18.78919982910156,0.08855199813842772
37,59290.210624999825,g,20.479400634765625,0.24863600730896
38,59290.23349539982,R,18.94742584228516,0.08535414934158325
39,59292.187233800076,g,20.317800521850586,0.23061400651931765
40,59292.23784720013,R,19.111705780029297,0.09496717900037767
41,59294.22790510021,R,19.12937355041504,0.12718774378299713
47,59303.239455999814,R,19.64967918395996,0.16865146160125732
