,ant_mjd,ant_passband,ant_mag,ant_magerr
23,59254.301574099816,g,21.046899795532227,0.2892799973487854
24,59254.30788190012,g,21.05150032043457,0.2427379935979843
27,59256.31990739983,g,20.25379180908203,0.1620524674654007
28,59256.340983800124,g,20.46047019958496,0.1884485483169556
29,59256.41196760022,R,20.12459945678711,0.23659799993038175
30,59256.4129050998,R,20.161800384521484,0.2652280032634735
31,59258.347314800136,R,19.80544853210449,0.16185198724269867
32,59258.358761600226,g,19.67339515686035,0.1506824940443039
33,59258.35973379994,g,19.693653106689453,0.15848346054553986
34,59262.221088000115,R,18.96692657470703,0.09406944364309312
35,59262.32318289997,g,19.06879997253418,0.08820600062608719
36,59262.3246065001,g,18.985584259033203,0.1004696637392044
37,59262.341828700155,R,19.15729331970215,0.12333420664072035
38,59264.299780100126,R,18.93720054626465,0.08601299673318863
39,59264.30072919978,R,18.990039825439453,0.0623088963329792
40,59264.32519679982,g,18.89105796813965,0.07404407113790512
41,59264.346782399814,g,18.893455505371094,0.11594916880130768
42,59266.26813660003,R,18.932497024536133,0.11719799786806108
43,59266.309479199816,g,18.799196243286133,0.1124565526843071
44,59266.30995369983,g,18.78676986694336,0.1254238337278366
45,59266.32613429987,R,19.006290435791016,0.1637408882379532
46,59268.20759260002,g,18.8320255279541,0.10787756741046907
47,59268.21606480004,g,18.89852333068848,0.10730637609958647
48,59268.29685189994,R,18.84919548034668,0.09990934282541276
49,59268.320462999865,R,18.902891159057614,0.11162830144166946
50,59270.28138889978,g,19.05689239501953,0.14402392506599426
52,59270.3071527998,R,18.89952278137207,0.1217123419046402
53,59270.31769679999,R,18.830841064453125,0.14735636115074158
54,59272.276169000186,R,18.875999450683594,0.21986199915409088
55,59272.27711809985,R,18.99226188659668,0.17292726039886475
57,59272.39124999987,g,19.236799240112305,0.2428770065307617
58,59274.19701390015,g,19.085100173950195,0.26810601353645325
59,59274.24870370002,g,19.33300018310547,0.2940059900283813
60,59274.38425929983,R,19.17289924621582,0.23654599487781525
61,59274.39055560018,R,18.86100006103516,0.26261699199676514
62,59276.24074070017,g,19.671653747558594,0.1652223765850067
63,59278.26932869991,g,19.87423324584961,0.19112129509449005
64,59278.28865739983,R,19.36102294921875,0.1390157788991928
65,59280.26281249988,R,19.479686737060547,0.12874723970890045
66,59280.26281249988,R,19.479700088500977,0.12874700129032135
67,59281.23439810006,R,19.493316650390625,0.1483856737613678
69,59291.246423599776,R,19.859224319458008,0.18680234253406525
71,59292.23178240005,R,20.11617851257324,0.17452621459960938
