,ant_mjd,ant_passband,ant_mag,ant_magerr
14,59260.255335600115,R,19.71693229675293,0.17828920483589172
15,59260.30327549996,g,19.78470230102539,0.20822788774967196
16,59263.23578700004,R,18.58268928527832,0.09472094476222992
17,59263.273587999865,g,18.67889976501465,0.10367099940776824
18,59265.27398149995,R,18.2790584564209,0.06442111730575563
19,59265.39450229983,g,18.205055236816406,0.07152464985847473
20,59267.275590300094,g,17.921649932861328,0.0724170058965683
21,59267.295810199816,R,18.05689811706543,0.06488194316625595
22,59269.23262730008,g,17.77487564086914,0.0676388368010521
24,59271.228298599824,g,17.735706329345703,0.07709848135709763
25,59271.25353009999,R,17.85288429260254,0.06302787363529205
26,59273.2355324002,R,17.815006256103516,0.0900728851556778
27,59273.28418979981,g,17.691741943359375,0.09935564547777176
28,59275.169756900046,g,17.78424072265625,0.06122373789548874
29,59275.256250000086,R,17.814746856689453,0.06583906710147858
30,59278.169976899866,R,17.907522201538086,0.05726888775825501
31,59278.234108800076,g,17.955238342285156,0.06434687972068788
32,59281.226666700095,R,18.205591201782227,0.060821808874607086
33,59281.32258100017,g,18.233400344848636,0.11288300156593326
34,59291.22020829981,R,18.538259506225586,0.06336041539907455
35,59293.15130789997,g,19.491268157958984,0.13966964185237885
36,59293.229085599996,R,18.663196563720703,0.0874904990196228
41,59302.191064800136,R,19.16580009460449,0.16935500502586365
42,59304.14978010021,R,19.220508575439453,0.12306074053049088
