,ant_mjd,ant_passband,ant_mag,ant_magerr
10,59262.31583329989,g,19.973125457763672,0.21501018106937408
12,59264.3581249998,R,19.287731170654297,0.14920438826084134
13,59266.30287039978,g,18.902084350585934,0.15689432621002194
14,59268.22554400005,g,18.58273696899414,0.10762087255716324
15,59268.33652780019,R,18.84008026123047,0.13224118947982788
16,59270.2775347,g,18.5570068359375,0.1529201716184616
17,59270.32380789983,R,18.61642265319824,0.13489767909049988
19,59273.37690970022,g,18.329736709594727,0.18225914239883426
20,59275.31053239992,g,18.408071517944336,0.09386534988880156
21,59275.315497700125,R,18.432344436645508,0.1233920231461525
22,59278.28148149978,R,18.49186515808105,0.11896495521068573
23,59278.29545139987,g,18.4869384765625,0.08850317448377609
24,59281.247268499814,R,18.5950870513916,0.10423463582992554
25,59281.315543999895,g,18.59178352355957,0.10841454565525056
26,59291.236006900195,R,18.925090789794922,0.12579835951328278
27,59293.23241900001,R,19.11984634399414,0.1541578620672226
28,59293.27716440009,g,19.636676788330078,0.16500473022460938
34,59304.16987269978,R,19.43744659423828,0.17721714079380035
