,ant_mjd,ant_passband,ant_mag,ant_magerr
8,59264.49868059997,g,19.314870834350586,0.09404022246599196
9,59264.52473379998,R,18.95533561706543,0.0945221483707428
10,59266.507349499974,g,19.145299911499023,0.11697699874639512
11,59266.525312500075,R,18.863800048828125,0.15418300032615662
12,59268.47722220003,R,18.56791114807129,0.07841119915246964
13,59268.50630789995,g,19.32192611694336,0.09622087329626083
14,59270.455856500186,g,19.769399642944336,0.3049519956111908
15,59270.49541669991,R,18.654617309570312,0.08939137309789658
17,59272.486678199835,R,18.721454620361328,0.10165350139141084
18,59274.42299770005,R,19.018699645996094,0.21414199471473694
21,59276.48231479991,R,19.07152366638184,0.10874888300895692
23,59280.444455999874,R,19.579572677612305,0.16056475043296814
