,ant_mjd,ant_passband,ant_mag,ant_magerr
11,59264.33481479995,g,18.90518569946289,0.08873841166496277
12,59266.29864579997,g,18.4414005279541,0.12500299513339996
13,59268.41936339997,g,18.45599937438965,0.08617047220468521
14,59270.28969909996,g,18.518680572509766,0.18915461003780365
15,59270.39032409992,R,18.374225616455078,0.10409828275442123
16,59272.31394679983,R,18.379024505615234,0.14820358157157898
17,59272.41075230017,g,18.416217803955078,0.15673933923244476
18,59274.23268519994,g,18.192800521850586,0.34498900175094604
19,59274.377905100126,R,18.36040496826172,0.15922391414642334
20,59276.340844899874,R,18.447078704833984,0.08686918020248413
21,59280.29510420003,R,18.3851375579834,0.06396070867776871
22,59280.29510420003,R,18.385099411010746,0.06396099925041199
23,59280.357013899826,g,18.69425773620605,0.09882209450006484
24,59290.31509259995,g,18.980073928833008,0.11167167872190477
25,59290.335810199846,R,18.53119659423828,0.07178305834531784
26,59292.235381899874,R,18.541881561279297,0.07526715099811554
27,59292.27306709997,g,18.961057662963867,0.1112501472234726
28,59294.25200230022,g,19.024879455566406,0.176063671708107
29,59294.317395799786,R,18.470338821411133,0.09460248798131944
30,59297.17912039999,g,19.01499938964844,0.2579079866409302
31,59297.25388889993,R,18.53766632080078,0.14037613570690155
34,59303.28251159983,g,19.19059944152832,0.26736900210380554
36,59305.31219909992,R,18.579736709594727,0.11181227117776872
