,ant_mjd,ant_passband,ant_mag,ant_magerr
12,59266.484490700066,g,19.83989906311035,0.23865999281406405
13,59268.4822338,g,19.560503005981445,0.1302652508020401
14,59270.43930559978,g,19.428173065185547,0.16519221663475034
15,59270.500196800094,R,19.152713775634766,0.1803550571203232
16,59272.400972200085,g,19.09079933166504,0.1631547510623932
17,59272.45462960005,R,19.154176712036133,0.18087808787822726
19,59274.44545139978,g,19.075199127197266,0.23551100492477414
20,59276.38278939994,R,19.011777877807614,0.10814806818962096
21,59276.43999999993,g,18.99279022216797,0.1307465434074402
22,59280.42237270017,R,19.148113250732425,0.14026221632957458
23,59291.29969910019,g,19.846342086791992,0.15236587822437286
24,59291.377280099776,R,19.39908218383789,0.1730852574110031
26,59295.400358799845,R,19.51607894897461,0.16586807370185852
28,59297.39878469986,R,19.375158309936523,0.18157048523426056
