,Unnamed: 0,oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
0,0,722113400020693,45049739,2458204.9993841173,58204.497395800005,20.8996582,0.191068888,0,zg,248.0164643,42.51132020000001,0.7440000179999999,-0.144999996,20180327497396,722,0xd,0x4,20.920000100000006,26.2601624,0.0369796678,-0.0596964397,2.017726e-05,30,1.00899994,2
1,1,722113400020693,45049832,2458205.000310177,58204.498321800005,20.5586185,0.164273858,0,zg,248.015891,42.5115246,0.437999994,0.0219999999,20180327498310,722,0xd,0x4,20.9699993,26.259210600000007,0.034069579100000004,-0.0556236468,1.68625247e-05,30,1.00899994,1
2,2,722113400020693,47534032,2458229.842940874,58229.34032409999,21.1835918,0.213377118,0,zg,248.0162128,42.5117311,0.81400001,0.00200000009,20180421340301,722,0xd,0x4,21.0499992,26.244817699999995,0.033067517000000005,-0.0961983874,1.53564215e-05,30,1.09599996,1
3,3,722113400020693,47641094,2458230.913583745,58230.41094909999,21.7468147,0.257628798,0,zg,248.01615930000003,42.5111536,0.674000025,-0.201000005,20180422410914,722,0xd,0x4,21.8199997,26.244102500000004,0.025298019900000003,-0.0702199414,8.60085947e-06,30,1.00800002,2
4,4,722113400020693,47740775,2458231.910405028,58231.4077546,21.6162357,0.247369409,0,zg,248.01688900000002,42.5114604,0.430000007,-0.296999991,20180423407720,722,0xd,0x4,21.6299992,26.245891600000004,0.027613245,-0.051896981900000014,1.03669108e-05,30,1.00800002,2
5,5,722113400020693,47845083,2458232.9534995416,58232.450833300005,21.2996769,0.222497821,0,zg,248.01645240000002,42.5115881,0.643000007,-0.0299999993,20180424450787,722,0xd,0x4,21.8700008,26.2325745,0.0272998568,-0.0455292985,9.98944506e-06,30,1.02699995,3
6,6,722113400020693,47848731,2458232.989981581,58232.4873148,21.5141869,0.239351511,0,zg,248.0160665,42.511669700000006,1.19599998,0.337000012,20180424487303,722,0xd,0x4,21.8500004,26.2294331,0.0261106174,-0.0480342843,9.22607069e-06,30,1.08299994,2
7,7,722113400020693,49436843,2458248.87124553,58248.3684375,20.9230328,0.192905307,0,zg,248.01636890000003,42.5116648,1.13499999,0.0320000015,20180510368426,722,0xd,0x4,21.6900005,26.2405224,0.026783891,-0.0400271527,9.75766307e-06,30,1.00699997,2
8,8,722113400020693,50040871,2458254.911527245,58254.4087153,21.7981453,0.261661768,0,zg,248.0161622,42.5117136,0.432999998,0.207000002,20180516408692,722,0xd,0x4,21.9799995,26.2438583,0.026064191,-0.06286279110000001,9.11288498e-06,30,1.04900002,3
9,9,722113400020693,52227071,2458276.773316692,58276.2707176,21.4346409,0.233101726,0,zg,248.016186,42.511668799999995,0.80400002,-0.08399999890000001,20180607270706,722,0xd,0x4,21.9599991,26.2306728,0.0248749573,-0.0519862175,8.307011740000001e-06,30,1.01300001,2
