,Unnamed: 0,oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
0,0,457109100014169,45013679,2458204.635263967,58204.136794000005,16.7853222,0.0194139779,0,zg,78.61397689999998,6.028251999999999,2.12700009,-0.234999999,20180327136782,457,0x9,0x1,19.3099995,26.2085323,0.0409350023,-0.105742745,5.0729388e-05,30,1.495,1
1,1,457109100014169,45015468,2458204.6531558223,58204.1546875,16.6574154,0.0187533386,0,zg,78.6139722,6.0282214000000005,1.505,0.0160000008,20180327154676,457,0x9,0x1,19.0900002,26.1980381,0.0416855142,-0.129998177,8.64934627e-05,30,1.65799999,1
2,2,457109100014169,58048215,2458334.9790034224,58334.4821528,17.0364876,0.0210240465,0,zg,78.6142481,6.0281112,2.78999996,0.225999996,20180804482130,457,0x9,0x1,19.4799995,25.7803249,0.0517721139,0.013315871399999998,4.64584518e-05,30,2.63100004,1
3,3,457109100014169,59048414,2458344.98179678,58344.48414349999,17.2378578,0.0226694327,0,zg,78.61428359999998,6.0280631,3.01600003,0.351000011,20180814484144,457,0x9,0x1,20.7000008,25.9128284,0.032057717400000005,-0.00591692841,1.00634788e-05,30,1.95700002,1
4,4,457109100014169,59348877,2458347.9866826185,58347.4887731,17.2118607,0.0224370062,0,zg,78.6142679,6.028014700000001,4.04400015,0.5299999710000001,20180817488762,457,0x9,0x1,21.2700005,25.9608765,0.026588667200000003,-0.0246432219,6.857309019999999e-06,30,1.77400005,1
5,5,457109100014169,59646586,2458350.964037159,58350.4658681,17.3551598,0.0237988736,0,zg,78.6142865,6.0280553,3.03600001,0.374000013,20180820465868,457,0x9,0x1,20.9500008,25.8391953,0.0315918289,-0.0138988607,9.37433833e-06,30,1.995,1
6,6,457109100014169,60849733,2458362.99660042,58362.497338,16.882114399999995,0.0199821107,0,zg,78.61408969999998,6.0282153,4.54199982,-0.0189999994,20180901497141,457,0x9,0x1,19.8199997,26.1785183,0.0438977592,-0.0158463791,2.57843385e-05,30,1.34399998,1
7,7,457109100014169,61146234,2458365.961888966,58365.4623495,17.304164899999996,0.0232912153,0,zg,78.6143354,6.027986299999999,3.68799996,0.31400001,20180904462350,457,0x9,0x1,20.4599991,26.1268787,0.0346898921,-0.0316898786,1.16316787e-05,30,1.51800001,1
8,8,457109100014169,61452023,2458369.020058549,58368.520231500006,17.350956,0.023756029100000003,0,zg,78.6142894,6.028011599999999,4.18300009,0.565999985,20180907520197,457,0x9,0x1,20.6299992,26.2127323,0.0310534406,-0.0482741296,9.35506432e-06,30,1.20099998,1
9,9,457109100014169,61749907,2458371.9991822005,58371.49907409999,17.3534622,0.0237815492,0,zg,78.6142973,6.0279522000000005,4.27199984,0.5550000070000001,20180910498935,457,0x9,0x1,21.5499992,26.222278600000006,0.0213730838,-0.0597176217,4.3248142e-06,30,1.23599994,1
10,10,457109100014169,62046109,2458374.9614872253,58374.461099500004,16.9305305,0.020290168,0,zg,78.61407269999998,6.0281956,5.69700003,0.197999999,20180913461100,457,0x9,0x1,20.9099998,26.1911469,0.0271763708,-0.0425637476,6.98852955e-06,30,1.36199999,1
11,11,457109100014169,62350012,2458378.0008013058,58377.5001273,17.1398697,0.0218252428,0,zg,78.6141252,6.0281543,6.45499992,0.469999999,20180916500000,457,0x9,0x1,21.5900002,26.2095737,0.0213648286,-0.07856433089999999,4.41427937e-06,30,1.19000006,1
12,12,457109100014169,62648532,2458380.986277894,58380.485324099995,17.3779621,0.0240345057,0,zg,78.6142609,6.0279679,4.11800003,0.340999991,20180919485324,457,0x9,0x1,21.6599998,26.226493800000004,0.0215702001,-0.0640982762,4.58146587e-06,30,1.20599997,1
13,13,457109100014169,62946456,2458383.9657911523,58383.4645602,17.3390694,0.0236358494,0,zg,78.6142574,6.0279361,4.17500019,0.442999989,20180922464537,457,0x9,0x1,21.489999800000003,26.1568699,0.0235212576,-0.0546103194,5.43414671e-06,30,1.24199998,1
